acquisition_campaign,acquisition_campaign_type,acquired_customers,purchasing_customers,repeat_customers,total_revenue,total_orders,campaign_budget,region_target,conversion_rate,repeat_rate,revenue_per_customer,budget_based_cac,budget_based_roas,revenue_rank,roas_rank
104,Affiliate,1045,981,785,342849.77,2719.0,490721.0,region_61,0.938755980861244,0.800203873598369,328.08590430622013,469.58947368421053,0.6986653719730764,1.0,180.0
197,Email,1091,993,763,335554.63,2715.0,36734.0,region_28,0.9101741521539871,0.7683786505538771,307.5661136571952,33.670027497708524,9.134715250176948,2.0,9.0
49,Display,1062,974,772,331616.03,2666.0,369383.0,region_65,0.9171374764595104,0.7926078028747433,312.2561487758946,347.81826741996235,0.8977566103475255,3.0,131.0
41,Affiliate,1031,944,732,325220.88,2614.0,426602.0,region_74,0.915615906886518,0.7754237288135594,315.4421726479147,413.77497575169735,0.7623519814721919,4.0,161.0
189,Email,1076,992,783,325184.51,2754.0,381923.0,region_12,0.9219330855018587,0.7893145161290323,302.2160873605948,354.94702602230484,0.8514399761208411,5.0,139.0
85,Display,1030,962,741,325003.43,2618.0,163487.0,region_1,0.9339805825242719,0.7702702702702703,315.53731067961166,158.7252427184466,1.9879466257255929,6.0,66.0
183,Display,1059,980,749,323571.54,2699.0,460009.0,region_65,0.9254013220018886,0.7642857142857142,305.54441926345606,434.3805476864967,0.7034026290789962,7.0,178.0
138,Email,1031,948,742,322677.72,2613.0,399744.0,region_17,0.9194956353055286,0.7827004219409283,312.97548011639185,387.72453928225025,0.8072109149855907,8.0,150.0
5,Email,1028,940,756,322674.83,2648.0,71877.0,region_40,0.914396887159533,0.8042553191489362,313.88602140077825,69.9192607003891,4.48926402047943,9.0,28.0
17,Search,1045,968,763,322175.7,2633.0,309770.0,region_21,0.9263157894736842,0.7882231404958677,308.3021052631579,296.4306220095694,1.0400481002033768,10.0,116.0
171,Email,1070,971,735,321523.93,2609.0,176926.0,region_93,0.9074766355140187,0.756951596292482,300.48965420560745,165.35140186915888,1.8172791449532573,11.0,73.0
10,Search,1051,963,767,321247.99,2655.0,47131.0,region_97,0.9162702188392008,0.7964693665628245,305.65936251189345,44.84395813510942,6.816065646814199,12.0,14.0
109,Affiliate,1023,946,751,320909.6,2652.0,351396.0,region_8,0.9247311827956989,0.7938689217758985,313.694623655914,343.49560117302053,0.913242040319184,13.0,128.0
135,Email,1086,1007,771,320846.21,2704.0,74291.0,region_88,0.927255985267035,0.7656405163853028,295.4384990791897,68.40791896869244,4.318776298609523,14.0,30.0
15,Search,1034,946,744,319340.04,2588.0,135917.0,region_32,0.9148936170212766,0.7864693446088795,308.839497098646,131.4477756286267,2.349522429129542,15.0,51.0
191,Email,1050,952,750,319311.23,2605.0,118099.0,region_46,0.9066666666666666,0.7878151260504201,304.1059333333333,112.4752380952381,2.7037589649361973,16.0,42.0
59,Display,1049,966,754,318801.5,2678.0,443027.0,region_25,0.9208770257387988,0.7805383022774327,303.9099142040038,422.33269780743564,0.7195983540506561,17.0,168.0
