acquisition_month,acquired_customers,purchasing_customers,repeat_customers,total_revenue,total_orders,purchase_conversion_rate,repeat_rate,revenue_per_acquired_customer,average_order_value,revenue_mom_change,acquisition_mom_change
2022-01,53399,49054,38140,16096085.29,133499.0,0.9186314350456001,0.7775104986341582,301.4304629300174,120.57083041820538,,
2022-02,35834,32863,25507,10718358.21,89493.0,0.9170899146062399,0.7761616407509966,299.1114084389128,119.76755958566592,-0.3341015522166134,-0.32893874417123914
2022-03,29476,27062,20984,8780914.18,73672.0,0.9181028633464513,0.775404626413421,297.9004674989822,119.18930095558692,-0.18075940288993209,-0.17742925713009994
2022-04,20991,19327,15047,6315173.12,52612.0,0.9207279310180554,0.7785481450820096,300.8514658663237,120.03294153425074,-0.2808068738009235,-0.28786131089700095
2022-05,15941,14572,11287,4744247.16,39678.0,0.9141208205256884,0.774567664013176,297.6128950504987,119.56870709209134,-0.24875421942510423,-0.24057929588871418
2022-06,11656,10656,8264,3503664.79,29085.0,0.9142072752230611,0.7755255255255256,300.5889490391215,120.46294619219529,-0.261491935002813,-0.2688037136942475
2022-07,8710,7989,6247,2595990.02,21844.0,0.9172215843857635,0.7819501814995619,298.04707462686565,118.84224592565464,-0.25906438669322585,-0.252745367192862
2022-08,6499,5924,4564,1961123.09,16263.0,0.9115248499769195,0.7704253882511817,301.75766887213416,120.58802742421447,-0.24455676836538842,-0.25384615384615383
2022-09,4502,4136,3197,1362615.34,11251.0,0.9187027987561084,0.7729690522243714,302.6688893824967,121.11059816905164,-0.3051862236755368,-0.3072780427758116
2022-10,3485,3195,2468,1051939.87,8738.0,0.9167862266857962,0.7724569640062597,301.8478823529412,120.38680132753491,-0.22799939269728164,-0.22589960017769883
2022-11,2471,2280,1756,726338.72,6108.0,0.9227033589639821,0.7701754385964912,293.9452529340348,118.91596594629993,-0.3095244883150974,-0.29096126255380206
2022-12,1849,1701,1339,573242.32,4720.0,0.9199567333693889,0.7871840094062317,310.02829637641963,121.4496440677966,-0.2107782440677265,-0.25171995143666537
2023-01,1391,1291,1009,433615.65,3555.0,0.9281092739036664,0.7815646785437645,311.7294392523365,121.97345991561183,-0.24357355542068138,-0.24770146024878315
2023-02,905,837,657,268971.72,2242.0,0.9248618784530387,0.7849462365591398,297.2063204419889,119.96954504906333,-0.3797001561175203,-0.3493889288281812
2023-03,775,705,549,225590.13,1922.0,0.9096774193548387,0.7787234042553192,291.08403870967743,117.37259625390219,-0.16128680740116463,-0.14364640883977897
2023-04,555,514,395,172001.1,1359.0,0.9261261261261261,0.7684824902723736,309.9118918918919,126.56445916114791,-0.2375504194265946,-0.28387096774193543
2023-05,412,378,286,127958.39,1017.0,0.9174757281553398,0.7566137566137566,310.5786165048544,125.81945919370698,-0.25606062984480915,-0.2576576576576577
2023-06,271,240,194,82280.35,679.0,0.8856088560885609,0.8083333333333333,303.6175276752768,121.17871870397644,-0.35697573250179215,-0.3422330097087378
2023-07,230,210,162,72458.23,564.0,0.9130434782608695,0.7714285714285715,315.0357826086956,128.47203900709218,-0.11937382376229577,-0.1512915129151291
2023-08,202,190,149,62072.88,518.0,0.9405940594059405,0.7842105263157895,307.2914851485148,119.83181467181467,-0.14332878404564942,-0.12173913043478257
2023-09,117,115,94,40266.42,336.0,0.9829059829059829,0.8173913043478261,344.1574358974359,119.8405357142857,-0.35130414441862534,-0.42079207920792083
2023-10,74,68,51,19387.52,186.0,0.918918918918919,0.75,261.9935135135135,104.23397849462366,-0.5185189048343508,-0.36752136752136755
2023-11,63,58,46,20793.28,173.0,0.9206349206349206,0.7931034482758621,330.0520634920635,120.19236994219652,0.07250850031360367,-0.14864864864864868
2023-12,56,52,43,19723.44,152.0,0.9285714285714286,0.8269230769230769,352.2042857142857,129.75947368421052,-0.051451238092306784,-0.11111111111111116
2024-01,32,30,26,12249.88,95.0,0.9375,0.8666666666666667,382.80875,128.94610526315788,-0.3789176735904082,-0.4285714285714286
2024-02,32,29,21,8237.45,68.0,0.90625,0.7241379310344828,257.4203125,121.13897058823531,-0.3275485147609608,0.0
2024-03,22,20,17,6117.5,52.0,0.9090909090909091,0.85,278.0681818181818,117.64423076923077,-0.2573551281039643,-0.3125
2024-04,16,16,14,5880.910000000001,44.0,1.0,0.875,367.55687500000005,133.65704545454548,-0.038674295055169505,-0.2727272727272727
2024-05,11,8,6,1381.88,17.0,0.7272727272727273,0.75,125.62545454545456,81.28705882352942,-0.7650227600830484,-0.3125
2024-06,5,5,5,1951.5900000000001,13.0,1.0,1.0,390.31800000000004,150.12230769230771,0.4122716878455437,-0.5454545454545454
2024-07,2,2,2,754.17,8.0,1.0,1.0,377.085,94.27125,-0.6135612500576453,-0.6
2024-08,3,3,2,1184.6100000000001,7.0,1.0,0.6666666666666666,394.87000000000006,169.23000000000002,0.5707466486335975,0.5
2024-09,3,3,1,316.32,5.0,1.0,0.3333333333333333,105.44,63.263999999999996,-0.7329754096284853,0.0
