acquisition_month,acquisition_channel,acquired_customers,purchasing_customers,repeat_customers,total_revenue,total_orders,purchase_conversion_rate,repeat_rate,revenue_per_customer,average_order_value
2022-01,ads,18085,16602,12876,5448426.19,45061.0,0.9179983411667128,0.7755692085290928,301.2676909040642,120.91223430460931
2022-01,email,8920,8208,6420,2665382.64,22365.0,0.9201793721973094,0.7821637426900585,298.8097130044843,119.17650972501677
2022-01,organic,17576,16153,12525,5326578.49,43964.0,0.9190373236231224,0.7753977589302297,303.0597684342285,121.15773109817124
2022-01,social,8818,8091,6319,2655697.97,22109.0,0.917555001134044,0.7809912248176987,301.1678351100023,120.11841195893076
2022-02,ads,11680,10705,8316,3471964.1,29110.0,0.9165239726027398,0.7768332554880897,297.25720034246575,119.27049467536929
2022-02,email,6028,5543,4328,1802496.44,15099.0,0.9195421366954214,0.7808046184376691,299.0206436629064,119.37853102854493
2022-02,organic,12032,11010,8516,3589503.3,29960.0,0.9150598404255319,0.7734786557674841,298.32972905585103,119.80985647530039
2022-02,social,6094,5605,4347,1854394.37,15324.0,0.9197571381686905,0.7755575379125781,304.29838693797177,121.01242299660663
2022-03,ads,9884,9048,7043,2938723.12,24651.0,0.915418858761635,0.7784040671971706,297.3212383650344,119.21314023771856
2022-03,email,5019,4589,3611,1538599.82,12708.0,0.9143255628611278,0.7868816735672259,306.5550547917912,121.07332546427448
2022-03,organic,9681,8927,6883,2870007.21,24147.0,0.9221154839376098,0.771031701579478,296.4577223427332,118.85564293701081
2022-03,social,4892,4498,3447,1433584.03,12166.0,0.919460343417825,0.7663405958203646,293.04661283728535,117.83528111129377
2022-04,ads,7114,6536,5092,2141101.37,17796.0,0.9187517570986786,0.7790697674418605,300.9701110486365,120.31363059114409
2022-04,email,3439,3179,2477,1035041.52,8612.0,0.9243966269264321,0.7791758414595785,300.9716545507415,120.18596377148165
2022-04,organic,6945,6396,5008,2071359.35,17386.0,0.920950323974082,0.782989368355222,298.2518862491001,119.13950017255263
2022-04,social,3493,3216,2470,1067670.88,8818.0,0.9206985399370169,0.7680348258706468,305.6601431434297,121.07857564073485
2022-05,ads,5300,4826,3743,1587123.91,13224.0,0.9105660377358491,0.7755905511811023,299.45734150943395,120.01844449485783
2022-05,email,2668,2460,1894,787361.38,6611.0,0.9220389805097451,0.7699186991869919,295.1129610194902,119.09868098623507
2022-05,organic,5336,4878,3757,1593814.71,13283.0,0.914167916041979,0.7701927019270193,298.69091266866565,119.98906195889482
2022-05,social,2637,2408,1893,775947.16,6560.0,0.913158892681077,0.7861295681063123,294.2537580583997,118.28462804878049
2022-06,ads,3926,3588,2781,1174820.89,9776.0,0.9139072847682119,0.7750836120401338,299.2411844116148,120.17398629296234
2022-06,email,1902,1742,1346,566829.88,4659.0,0.9158780231335436,0.7726750861079219,298.01781282860145,121.66342133505044
2022-06,organic,3866,3538,2740,1166095.65,9735.0,0.9151577858251423,0.7744488411531939,301.62846611484736,119.78383667180276
2022-06,social,1962,1788,1397,595918.37,4915.0,0.9113149847094801,0.7813199105145414,303.7300560652395,121.24483621566633
2022-07,ads,2883,2663,2102,866879.08,7313.0,0.9236906000693722,0.7893353360871198,300.68646548733955,118.53946123341993
2022-07,email,1438,1312,1019,443958.78,3609.0,0.9123783031988874,0.7766768292682927,308.73350486787206,123.01434746467166
2022-07,organic,2934,2682,2092,862391.78,7283.0,0.9141104294478528,0.7800149142431022,293.93039536468984,118.41161334614857
2022-07,social,1455,1332,1034,422760.38,3639.0,0.9154639175257732,0.7762762762762763,290.5569621993127,116.1748777136576
2022-08,ads,2122,1918,1499,624160.29,5291.0,0.9038642789820923,0.7815432742440042,294.13774269557024,117.96641277641278
2022-08,email,1089,1002,750,319603.47,2660.0,0.9201101928374655,0.7485029940119761,293.4834435261708,120.1516804511278
2022-08,organic,2186,2012,1560,684288.43,5573.0,0.9204025617566332,0.7753479125248509,313.03221866422695,122.78636820383996
2022-08,social,1102,992,755,333070.9,2739.0,0.9001814882032668,0.7610887096774194,302.24219600725957,121.60310332238043
2022-09,ads,1494,1376,1079,450606.82,3749.0,0.9210174029451138,0.784156976744186,301.6109906291834,120.19387036543078
2022-09,email,763,699,535,223837.29,1861.0,0.9161205766710354,0.765379113018598,293.36473132372214,120.2779634605051
2022-09,organic,1467,1359,1037,458965.79,3716.0,0.9263803680981595,0.7630610743193524,312.8601158827539,123.5107077502691
2022-09,social,778,702,546,229205.44,1925.0,0.9023136246786633,0.7777777777777778,294.6085347043702,119.06776103896104
2022-10,ads,1152,1065,822,345999.42,2899.0,0.9244791666666666,0.7718309859154929,300.34671875,119.3513004484305
2022-10,email,584,539,410,170952.73,1457.0,0.922945205479452,0.7606679035250464,292.7272773972603,117.33200411805079
2022-10,organic,1188,1085,834,359668.14,2949.0,0.9132996632996633,0.7686635944700461,302.7509595959596,121.96274669379451
2022-10,social,561,506,402,175319.58,1433.0,0.9019607843137255,0.7944664031620553,312.5126203208556,122.34443824145148
2022-11,ads,834,778,597,236968.14,2048.0,0.9328537170263789,0.7673521850899743,284.1344604316547,115.707099609375
2022-11,email,387,353,284,120370.49,994.0,0.9121447028423773,0.8045325779036827,311.034857881137,121.09707243460765
2022-11,organic,822,756,567,238619.5,2012.0,0.9197080291970803,0.75,290.2913625304136,118.59816103379721
2022-11,social,428,393,308,130380.59,1054.0,0.9182242990654206,0.7837150127226463,304.62754672897194,123.7007495256167
2022-12,ads,605,559,442,189555.32,1560.0,0.9239669421487603,0.7906976744186046,313.3145785123967,121.50982051282051
2022-12,email,300,276,220,102633.73,797.0,0.92,0.7971014492753623,342.11243333333334,128.77506900878294
2022-12,organic,627,576,446,189821.62,1560.0,0.9186602870813397,0.7743055555555556,302.7458054226475,121.68052564102564
2022-12,social,317,290,231,91231.65,803.0,0.9148264984227129,0.7965517241379311,287.7970031545741,113.6135118306351
2023-01,ads,479,444,355,156403.14,1272.0,0.9269311064718163,0.7995495495495496,326.52012526096036,122.95844339622643
2023-01,email,233,220,182,73613.0,631.0,0.944206008583691,0.8272727272727273,315.93562231759654,116.66085578446909
2023-01,organic,461,425,326,138601.21,1139.0,0.9219088937093276,0.7670588235294118,300.65338394793923,121.68675153643547
2023-01,social,218,202,146,64998.3,513.0,0.926605504587156,0.7227722772277227,298.1573394495413,126.70233918128656
2023-02,ads,314,286,219,93468.51,743.0,0.910828025477707,0.7657342657342657,297.67041401273883,125.79880215343202
2023-02,email,143,135,109,49964.229999999996,411.0,0.9440559440559441,0.8074074074074075,349.4002097902098,121.56746958637468
2023-02,organic,307,286,226,87415.39,758.0,0.9315960912052117,0.7902097902097902,284.74068403908797,115.32373350923483
2023-02,social,141,130,103,38123.59,330.0,0.9219858156028369,0.7923076923076923,270.3800709219858,115.5260303030303
2023-03,ads,270,248,195,79463.31,705.0,0.9185185185185185,0.7862903225806451,294.30855555555553,112.71391489361702
2023-03,email,149,135,106,45192.24,364.0,0.9060402684563759,0.7851851851851852,303.3036241610738,124.15450549450549
2023-03,organic,251,225,177,69899.58,586.0,0.896414342629482,0.7866666666666666,278.48438247011956,119.28255972696246
2023-03,social,105,97,71,31035.0,267.0,0.9238095238095239,0.7319587628865979,295.57142857142856,116.23595505617978
2023-04,ads,196,180,140,61620.34,482.0,0.9183673469387755,0.7777777777777778,314.38948979591834,127.84302904564315
2023-04,email,90,83,65,29847.65,214.0,0.9222222222222223,0.7831325301204819,331.6405555555556,139.475
2023-04,organic,178,168,124,50460.56,432.0,0.9438202247191011,0.7380952380952381,283.48629213483144,116.80685185185185
2023-04,social,91,83,66,30072.55,231.0,0.9120879120879121,0.7951807228915663,330.46758241758243,130.18419913419913
2023-05,ads,140,132,101,43090.93,342.0,0.9428571428571428,0.7651515151515151,307.79235714285716,125.99687134502923
2023-05,email,66,59,46,22845.79,162.0,0.8939393939393939,0.7796610169491526,346.14833333333337,141.0233950617284
2023-05,organic,138,124,96,42485.71,341.0,0.8985507246376812,0.7741935483870968,307.86746376811595,124.59152492668622
2023-05,social,68,63,43,19535.96,172.0,0.9264705882352942,0.6825396825396826,287.29352941176467,113.58116279069768
2023-06,ads,77,65,58,23808.97,204.0,0.8441558441558441,0.8923076923076924,309.2074025974026,116.71063725490197
2023-06,email,46,38,32,14162.79,113.0,0.8260869565217391,0.8421052631578947,307.8867391304348,125.33442477876108
2023-06,organic,96,91,74,30602.8,246.0,0.9479166666666666,0.8131868131868132,318.77916666666664,124.40162601626015
2023-06,social,52,46,30,13705.789999999999,116.0,0.8846153846153846,0.6521739130434783,263.5728846153846,118.1533620689655
2023-07,ads,87,81,65,28198.98,229.0,0.9310344827586207,0.8024691358024691,324.1262068965517,123.13965065502184
2023-07,email,36,35,25,10719.34,90.0,0.9722222222222222,0.7142857142857143,297.75944444444445,119.10377777777778
2023-07,organic,73,63,48,21349.07,164.0,0.863013698630137,0.7619047619047619,292.4530136986301,130.17725609756098
2023-07,social,34,31,24,12190.84,81.0,0.9117647058823529,0.7741935483870968,358.55411764705883,150.5041975308642
2023-08,ads,57,55,40,16578.18,140.0,0.9649122807017544,0.7272727272727273,290.84526315789475,118.41557142857143
2023-08,email,32,31,26,9578.53,83.0,0.96875,0.8387096774193549,299.3290625,115.40397590361447
2023-08,organic,69,64,51,22306.69,185.0,0.927536231884058,0.796875,323.28536231884055,120.57670270270269
2023-08,social,44,40,32,13609.48,110.0,0.9090909090909091,0.8,309.30636363636364,123.72254545454545
2023-09,ads,29,28,26,11066.2,93.0,0.9655172413793104,0.9285714285714286,381.5931034482759,118.99139784946237
2023-09,email,20,20,13,5943.4400000000005,49.0,1.0,0.65,297.172,121.29469387755103
2023-09,organic,51,50,39,17943.43,143.0,0.9803921568627451,0.78,351.8319607843137,125.47853146853147
2023-09,social,17,17,16,5313.35,51.0,1.0,0.9411764705882353,312.55,104.18333333333334
2023-10,ads,23,21,18,6514.08,61.0,0.9130434782608695,0.8571428571428571,283.2208695652174,106.78819672131148
2023-10,email,10,9,8,3156.11,28.0,0.9,0.8888888888888888,315.611,112.7182142857143
2023-10,organic,25,23,12,6178.47,58.0,0.92,0.5217391304347826,247.1388,106.52534482758621
2023-10,social,16,15,13,3538.86,39.0,0.9375,0.8666666666666667,221.17875,90.74000000000001
2023-11,ads,30,27,22,9055.07,76.0,0.9,0.8148148148148148,301.83566666666667,119.14565789473684
2023-11,email,10,9,8,4632.41,33.0,0.9,0.8888888888888888,463.241,140.3760606060606
2023-11,organic,19,18,12,5182.27,49.0,0.9473684210526315,0.6666666666666666,272.75105263157894,105.76061224489797
2023-11,social,4,4,4,1923.53,15.0,1.0,1.0,480.8825,128.23533333333333
2023-12,ads,17,17,13,6395.7,48.0,1.0,0.7647058823529411,376.2176470588235,133.24375
2023-12,email,6,6,6,2051.04,16.0,1.0,1.0,341.84,128.19
2023-12,organic,20,17,14,5988.33,52.0,0.85,0.8235294117647058,299.4165,115.16019230769231
2023-12,social,13,12,10,5288.37,36.0,0.9230769230769231,0.8333333333333334,406.7976923076923,146.89916666666667
2024-01,ads,11,10,8,4684.58,38.0,0.9090909090909091,0.8,425.8709090909091,123.27842105263157
2024-01,email,6,6,6,2529.07,20.0,1.0,1.0,421.5116666666667,126.4535
2024-01,organic,9,8,7,2888.16,23.0,0.8888888888888888,0.875,320.90666666666664,125.57217391304347
2024-01,social,6,6,5,2148.0699999999997,14.0,1.0,0.8333333333333334,358.0116666666666,153.4335714285714
2024-02,ads,4,4,3,1246.4899999999998,10.0,1.0,0.75,311.62249999999995,124.64899999999997
2024-02,email,11,9,6,3008.03,22.0,0.8181818181818182,0.6666666666666666,273.45727272727277,136.72863636363638
2024-02,organic,10,10,8,2544.52,23.0,1.0,0.8,254.452,110.63130434782609
2024-02,social,7,6,4,1438.41,13.0,0.8571428571428571,0.6666666666666666,205.48714285714286,110.64692307692309
2024-03,ads,7,6,4,1726.56,16.0,0.8571428571428571,0.6666666666666666,246.65142857142857,107.91
2024-03,email,1,1,1,520.7,2.0,1.0,1.0,520.7,260.35
2024-03,organic,11,10,9,3149.75,26.0,0.9090909090909091,0.9,286.34090909090907,121.14423076923077
2024-03,social,3,3,3,720.49,8.0,1.0,1.0,240.16333333333333,90.06125
2024-04,ads,4,4,3,1161.56,10.0,1.0,0.75,290.39,116.15599999999999
2024-04,email,6,6,6,1670.0500000000002,16.0,1.0,1.0,278.3416666666667,104.37812500000001
2024-04,organic,4,4,3,1598.16,12.0,1.0,0.75,399.54,133.18
2024-04,social,2,2,2,1451.14,6.0,1.0,1.0,725.57,241.85666666666668
2024-05,ads,4,4,3,818.56,10.0,1.0,0.75,204.64,81.856
2024-05,email,1,0,0,0.0,0.0,0.0,,0.0,
2024-05,organic,4,3,2,313.23,5.0,0.75,0.6666666666666666,78.3075,62.646
2024-05,social,2,1,1,250.09,2.0,0.5,1.0,125.045,125.045
2024-06,email,4,4,4,1472.96,9.0,1.0,1.0,368.24,163.66222222222223
2024-06,social,1,1,1,478.63,4.0,1.0,1.0,478.63,119.6575
2024-07,ads,2,2,2,754.17,8.0,1.0,1.0,377.085,94.27125
2024-08,ads,1,1,1,312.92,2.0,1.0,1.0,312.92,156.46
2024-08,organic,2,2,1,871.69,5.0,1.0,0.5,435.845,174.33800000000002
2024-09,email,2,2,0,131.39,2.0,1.0,0.0,65.695,65.695
2024-09,social,1,1,1,184.93,3.0,1.0,1.0,184.93,61.64333333333334
