customer_id,last_purchase_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,customer_segment
0,2023-04-15,2,339.9,531,1,1,3,113,High Value At Risk
1,2022-08-06,2,147.03,783,1,1,2,112,Low Engagement
2,2024-06-01,1,43.46,118,3,1,1,311,Developing Customers
3,2023-11-28,3,42.2,304,2,3,1,231,At Risk
4,2023-04-10,2,284.05,536,1,1,3,113,High Value At Risk
5,2023-11-30,2,85.38,302,2,1,1,211,Low Engagement
6,2022-06-28,1,220.0,822,1,1,2,112,Low Engagement
7,2022-08-23,2,154.45000000000002,766,1,1,2,112,Low Engagement
8,2024-08-21,7,1134.97,37,4,4,4,444,Champions
9,2023-12-28,3,418.65,274,2,3,3,233,At Risk
10,2023-11-30,2,537.48,302,2,1,4,214,High Value At Risk
11,2024-06-09,3,226.1,110,3,3,2,332,Loyal Customers
12,2024-06-25,3,568.02,94,4,3,4,434,Champions
13,2023-08-21,3,307.31,403,2,3,3,233,At Risk
14,2023-12-17,1,142.74,285,2,1,2,212,Low Engagement
15,2024-07-17,2,309.94,72,4,1,3,413,Potential Loyalists
16,2023-10-18,1,78.0,345,2,1,1,211,Low Engagement
17,2023-09-06,2,473.03000000000003,387,2,1,4,214,High Value At Risk
18,2023-10-19,4,484.8,344,2,3,4,234,At Risk
19,2022-12-19,2,95.27,648,1,1,1,111,Low Engagement
20,2023-04-11,2,181.24,535,1,1,2,112,Low Engagement
21,2023-04-09,2,198.85,537,1,1,2,112,Low Engagement
22,2022-07-14,1,176.29,806,1,1,2,112,Low Engagement
23,2024-08-24,4,151.24,34,4,3,2,432,Loyal Customers
24,2024-04-24,3,558.05,156,3,3,4,334,Champions
25,2024-01-31,4,499.10999999999996,240,3,3,4,334,Champions
26,2022-10-24,1,14.75,704,1,1,1,111,Low Engagement
27,2024-09-01,4,434.23,26,4,3,3,433,Champions
28,2024-03-29,4,223.18,182,3,3,2,332,Loyal Customers
29,2024-08-30,4,360.29999999999995,28,4,3,3,433,Champions
30,2023-07-10,2,544.03,445,2,1,4,214,High Value At Risk
31,2022-11-16,1,209.42,681,1,1,2,112,Low Engagement
32,2024-07-10,2,80.03999999999999,79,4,1,1,411,Developing Customers
33,2023-05-29,1,4.77,487,1,1,1,111,Low Engagement
34,2024-06-26,2,179.26,93,4,1,2,412,Developing Customers
35,2024-06-16,4,434.57,103,4,3,3,433,Champions
36,2022-07-14,1,86.0,806,1,1,1,111,Low Engagement
37,2023-08-20,3,259.54,404,2,3,2,232,At Risk
38,2023-11-06,5,591.2099999999999,326,2,4,4,244,At Risk
39,2024-08-03,3,422.75,55,4,3,3,433,Champions
40,2024-09-07,2,221.69,20,4,1,2,412,Developing Customers
41,2024-08-23,4,287.8,35,4,3,3,433,Champions
42,2022-06-10,1,51.95,840,1,1,1,111,Low Engagement
43,2023-06-29,1,26.21,456,2,1,1,211,Low Engagement
44,2022-11-19,3,169.0,678,1,3,2,132,At Risk
45,2024-08-09,4,620.32,49,4,3,4,434,Champions
46,2022-10-18,1,92.74,710,1,1,1,111,Low Engagement
47,2024-02-17,3,263.77,223,3,3,2,332,Loyal Customers
48,2024-01-09,1,26.33,262,2,1,1,211,Low Engagement
49,2024-06-25,2,70.38,94,4,1,1,411,Developing Customers
50,2023-07-02,2,85.64,453,2,1,1,211,Low Engagement
51,2024-05-18,4,548.39,132,3,3,4,334,Champions
52,2023-04-28,1,80.47,518,1,1,1,111,Low Engagement
53,2024-03-26,2,493.69000000000005,185,3,1,4,314,Potential Loyalists
54,2023-02-01,4,402.40999999999997,604,1,3,3,133,At Risk
55,2024-03-31,3,477.52,180,3,3,4,334,Champions
56,2022-03-20,1,80.64,922,1,1,1,111,Low Engagement
57,2024-06-25,3,157.01,94,4,3,2,432,Loyal Customers
58,2024-01-01,3,184.38,270,2,3,2,232,At Risk
59,2023-09-19,2,483.22,374,2,1,4,214,High Value At Risk
60,2024-07-08,4,194.04,81,4,3,2,432,Loyal Customers
61,2023-03-09,1,186.24,568,1,1,2,112,Low Engagement
62,2024-04-30,2,269.2,150,3,1,3,313,Potential Loyalists
63,2024-05-06,1,171.41,144,3,1,2,312,Developing Customers
64,2024-08-24,3,342.37,34,4,3,3,433,Champions
65,2024-07-05,3,484.95,84,4,3,4,434,Champions
66,2024-01-19,3,1075.81,252,2,3,4,234,At Risk
67,2023-10-31,2,151.89,332,2,1,2,212,Low Engagement
68,2023-03-26,1,84.43,551,1,1,1,111,Low Engagement
69,2024-03-23,5,647.65,188,3,4,4,344,Champions
